瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),嚼档(%),瘤搁柯档(∑C)
131,没林,2024-01-01 00:00,3.9,,80,3.2
131,没林,2024-01-01 01:00,3.3,,82,2.6
131,没林,2024-01-01 02:00,2.7,,86,1.7
131,没林,2024-01-01 03:00,2.2,,88,1
131,没林,2024-01-01 04:00,1.1,,90,.2
131,没林,2024-01-01 05:00,.1,,93,.7
131,没林,2024-01-01 06:00,.3,,94,1.2
131,没林,2024-01-01 07:00,-.3,,94,1.3
131,没林,2024-01-01 08:00,-.5,,95,1.3
131,没林,2024-01-01 09:00,-.2,,95,2.2
131,没林,2024-01-01 10:00,.1,,95,3.3
131,没林,2024-01-01 11:00,.6,,94,5
131,没林,2024-01-01 12:00,1.8,,90,7.6
131,没林,2024-01-01 13:00,3.8,,77,12.1
131,没林,2024-01-01 14:00,5.4,,75,12.1
131,没林,2024-01-01 15:00,7,,67,11.3
131,没林,2024-01-01 16:00,7,,66,8.5
131,没林,2024-01-01 17:00,6.8,,63,6.5
131,没林,2024-01-01 18:00,6.8,,63,5.5
131,没林,2024-01-01 19:00,6.5,,63,4.8
131,没林,2024-01-01 20:00,6,,69,4.4
131,没林,2024-01-01 21:00,5.5,,73,4.3
131,没林,2024-01-01 22:00,5.2,,75,4.4
131,没林,2024-01-01 23:00,5.4,,73,4.3
131,没林,2024-01-02 00:00,5,,75,4.1
131,没林,2024-01-02 01:00,4.9,,75,4
131,没林,2024-01-02 02:00,4.7,,76,4
131,没林,2024-01-02 03:00,4.6,,74,3.9
131,没林,2024-01-02 04:00,4.5,,75,3.7
131,没林,2024-01-02 05:00,4.4,,74,3.5
131,没林,2024-01-02 06:00,4.1,,76,3.5
131,没林,2024-01-02 07:00,4.2,,76,3.5
131,没林,2024-01-02 08:00,4.3,,76,3.5
131,没林,2024-01-02 09:00,4.5,0,75,3.9
131,没林,2024-01-02 10:00,4.5,,77,4.5
131,没林,2024-01-02 11:00,4.7,,78,5.5
131,没林,2024-01-02 12:00,5.7,0,67,8
131,没林,2024-01-02 13:00,5.6,,71,7
131,没林,2024-01-02 14:00,5.9,,68,7.1
131,没林,2024-01-02 15:00,5.9,,66,6.9
131,没林,2024-01-02 16:00,5.5,,66,6.1
131,没林,2024-01-02 17:00,5,,66,5
131,没林,2024-01-02 18:00,4.4,,67,3.7
131,没林,2024-01-02 19:00,4.3,,67,3.7
131,没林,2024-01-02 20:00,3.7,,65,2.5
131,没林,2024-01-02 21:00,3.5,,67,2.5
131,没林,2024-01-02 22:00,3.2,,68,2
131,没林,2024-01-02 23:00,2.9,,70,1.7
131,没林,2024-01-03 00:00,2.5,,69,1.8
131,没林,2024-01-03 01:00,2.4,,72,1.8
131,没林,2024-01-03 02:00,2.4,,68,1.8
131,没林,2024-01-03 03:00,2.2,,70,1.8
131,没林,2024-01-03 04:00,2.2,,71,2
131,没林,2024-01-03 05:00,2.2,,69,2.2
131,没林,2024-01-03 06:00,2.2,,71,2.2
131,没林,2024-01-03 07:00,1.7,,76,1.8
131,没林,2024-01-03 08:00,1.7,,76,2
131,没林,2024-01-03 09:00,2,,72,2.5
131,没林,2024-01-03 10:00,2.4,,72,3.5
131,没林,2024-01-03 11:00,3.4,,70,6
131,没林,2024-01-03 12:00,4.7,,61,9.3
131,没林,2024-01-03 13:00,4.3,,65,6.6
131,没林,2024-01-03 14:00,4,,73,7.3
131,没林,2024-01-03 15:00,4.9,0,65,6.9
131,没林,2024-01-03 16:00,3.2,,82,5
131,没林,2024-01-03 17:00,3.4,,82,3.9
131,没林,2024-01-03 18:00,2,1.9,86,3.2
131,没林,2024-01-03 19:00,2,,86,2.2
131,没林,2024-01-03 20:00,2.2,,84,1.8
131,没林,2024-01-03 21:00,2.2,0,82,1.7
131,没林,2024-01-03 22:00,1.7,,80,.5
131,没林,2024-01-03 23:00,1.5,,77,.4
131,没林,2024-01-04 00:00,.6,,76,.3
131,没林,2024-01-04 01:00,.3,,69,0
131,没林,2024-01-04 02:00,.3,,67,-.6
131,没林,2024-01-04 03:00,-.6,,75,-1.4
131,没林,2024-01-04 04:00,-.9,,79,-2
131,没林,2024-01-04 05:00,-1.3,,83,-2.5
131,没林,2024-01-04 06:00,-1.9,,85,-2.8
131,没林,2024-01-04 07:00,-1.7,,84,-3
131,没林,2024-01-04 08:00,-1.9,,81,-2.8
131,没林,2024-01-04 09:00,-1.5,,83,-.5
131,没林,2024-01-04 10:00,.1,,79,.1
131,没林,2024-01-04 11:00,1.6,,75,3.2
